YEAR,2WIC,2WN,2WT,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,TOTAL
2013,0.0,0.01583508408900161,0.0,0.05388377683826578,0.10107967876191908,0.0,0.003990218264939093,0.08680555555555555,0.0,0.019866322571771865,0.021110952308124365,0.012374293832366393,0.0032752521944189707,0.04419889502762431,0.0,0.014306151645207441,0.018600593192268356
2014,0.0,0.012040847252748543,0.0,0.04822375823822536,0.007212907622551032,0.0,0.0005869922517022776,0.03151591553734636,0.00387086784857165,0.018350150748622136,0.02153679976408921,0.014157788553427956,0.004312575470070726,0.0,0.0,0.02044381667472029,0.01350739703702733
2015,0.029886431560071723,0.010122450215868216,0.0,0.040781371069695364,1.7292426965647312,0.14534883720930233,0.002236916276697596,0.0346860908775581,0.0032549964195039385,0.011533411405656694,0.028069634709479284,0.04184986001943373,0.011123882976751084,0.02754062241806665,0.012567550584391103,0.018717244821562264,0.04950318833814204
2016,0.0,0.009436070687450265,0.0,0.13285904084344063,10.378763822972187,0.43811610076670315,0.0033360716921806647,0.23710729104919975,0.005600515247402761,0.01903040106570246,0.025594091021130708,0.030466819376897127,0.009316191540898081,0.021181952976064393,0.0,0.2543053448737396,0.2618326650032142
2017,0.019193857965451058,0.008735416140401561,0.0977107761027359,0.24195928002360578,16.824261349605283,0.0,0.00038726967136295685,0.02883506343713956,0.028857252789534438,0.17796935015763,0.02905555302245359,0.13616426997185066,0.0,0.0,0.028165840468679586,0.4179776313069839,0.415826525677906
2018,0.0753174090811276,0.08739090245243047,1.4788458331016845,0.6293840684154897,16.441949295677052,0.0,0.0,0.0,0.14881567525112646,0.1157266042944036,0.029108492592024936,0.27792863303836696,0.009653674429829855,0.018127435874195595,0.03996574364830145,0.3732554365465758,0.5725574955603645
2019,0.30526315789473685,0.15910448369861702,6.1967367564558264,0.18367267185118605,19.332292320054293,0.0,0.0,0.0,1.4086646163192467,0.010022406022956405,0.02499331389055157,0.3236288996174086,0.0,0.0,0.48569886670264434,0.4534083802376485,0.741559091122125
2020,0.020749040356883495,0.1997632604039015,36.25670299256184,1.0099947396107312,24.328645472343645,0.0,0.0,0.0,0.31706149796602057,0.002983636882866678,0.11213242059877569,1.0299596478735151,0.0,0.0,0.38180429802552635,0.8980115458627326,0.7203324941237971
2021,0.06088280060882801,1.1529069125818387,24.332580688006374,2.1585663860982893,42.30930439050755,0.1454192922927775,0.0,0.0,14.230591140608118,0.22474139641621588,0.350151102918369,1.0375645859516827,0.0,0.0,5.477679534181583,0.7649453610456396,1.840503376072837
2022,0.07805724197745013,3.9084631487645316,28.83306729395951,4.428202923473775,53.92749174131028,0.3325942350332594,0.0,0.0,15.794701986754966,0.06878264441317224,0.8206603461409803,2.9056755360866156,0.0,0.0,0.09241290084095741,0.09399351141566356,4.658784724566789
