region,date,frequency,unemployment_rate,employed,labour_participation_rate
Rural,2019-04-28, W,6.21,269512211.0,42.75
Total,2019-04-28, W,6.54,395332567.0,41.76
Urban,2019-05-05, W,8.04,129254772.0,41.23
Rural,2019-05-05, W,7.55,267931215.0,43.1
Total,2019-05-05, W,7.71,397185987.0,42.47
Urban,2019-05-12, W,9.0,123341112.0,39.74
Rural,2019-05-12, W,6.0,281624787.0,44.54
Total,2019-05-12, W,6.94,404965899.0,42.92
Urban,2019-05-19, W,8.15,131118189.0,41.83
Total,2019-05-19, W,7.29,396292072.0,42.14
Rural,2019-05-19, W,6.85,265173883.0,42.3
Total,2019-05-26, W,7.29,404856074.0,43.04
Rural,2019-05-26, W,6.69,281373223.0,44.79
Urban,2019-05-26, W,8.65,123482851.0,39.59
Total,2019-06-02, W,8.71,395785395.0,42.71
Rural,2019-06-02, W,8.78,268221336.0,43.66
Urban,2019-06-02, W,8.55,127564059.0,40.83
Rural,2019-06-09, W,9.01,269347713.0,43.93
Urban,2019-06-09, W,9.11,125616783.0,40.44
Total,2019-06-09, W,9.04,394964496.0,42.75
Urban,2019-06-16, W,8.05,129475991.0,41.18
Total,2019-06-16, W,8.45,401530382.0,43.16
Rural,2019-06-16, W,8.64,272054391.0,44.17
Urban,2019-06-23, W,7.89,128066221.0,40.64
Total,2019-06-23, W,7.36,403093732.0,42.8
Rural,2019-06-23, W,7.11,275027511.0,43.9
Urban,2019-06-30, W,8.57,130599987.0,41.74
Rural,2019-06-30, W,6.17,280091553.0,44.24
Total,2019-06-30, W,6.95,410691540.0,43.4
Rural,2019-07-07, W,7.38,284005716.0,45.43
Total,2019-07-07, W,7.67,412834295.0,43.95
Urban,2019-07-07, W,8.31,128828579.0,41.03
Rural,2019-07-14, W,6.43,277603315.0,43.93
Total,2019-07-14, W,7.19,402145838.0,42.57
Urban,2019-07-14, W,8.83,124542522.0,39.87
Rural,2019-07-21, W,7.23,279045765.0,44.52
Total,2019-07-21, W,7.65,405514320.0,43.12
Urban,2019-07-21, W,8.57,126468555.0,40.35
Rural,2019-07-28, W,7.35,282850779.0,45.17
Total,2019-07-28, W,7.92,407466748.0,43.43
Urban,2019-07-28, W,9.18,124615968.0,40.01
Rural,2019-08-04, W,7.84,276018714.0,44.29
Urban,2019-08-04, W,9.42,126073651.0,40.56
Total,2019-08-04, W,8.34,402092365.0,43.04
Urban,2019-08-11, W,10.25,125898053.0,40.86
Total,2019-08-11, W,8.87,406837485.0,43.78
Rural,2019-08-11, W,8.24,280939432.0,45.26
Urban,2019-08-18, W,8.73,128509181.0,41.0
Total,2019-08-18, W,7.89,401740812.0,42.75
Rural,2019-08-18, W,7.49,273231632.0,43.64
Total,2019-08-25, W,9.07,400862985.0,43.19
Rural,2019-08-25, W,9.14,273387619.0,44.44
Urban,2019-08-25, W,8.92,127475366.0,40.73
Rural,2019-09-01, W,7.36,274002556.0,43.66
Urban,2019-09-01, W,9.08,127839068.0,40.9
Total,2019-09-01, W,7.91,401841625.0,42.73
Rural,2019-09-08, W,6.53,285565068.0,45.08
Urban,2019-09-08, W,9.4,127412345.0,40.89
Total,2019-09-08, W,7.44,412977413.0,43.67
Rural,2019-09-15, W,5.42,286502453.0,44.68
Total,2019-09-15, W,6.78,414218170.0,43.47
Urban,2019-09-15, W,9.67,127715717.0,41.09
Total,2019-09-22, W,7.57,408030615.0,43.17
Urban,2019-09-22, W,9.58,127716829.0,41.03
Rural,2019-09-22, W,6.62,280313787.0,44.26
Total,2019-09-29, W,7.09,405407319.0,42.66
Urban,2019-09-29, W,10.76,125080138.0,40.69
Rural,2019-09-29, W,5.36,280327181.0,43.65
Total,2019-10-06, W,8.36,403674916.0,43.04
Urban,2019-10-06, W,8.53,127571103.0,40.47
Rural,2019-10-06, W,8.29,276103813.0,44.35
Total,2019-10-13, W,8.56,404081323.0,43.16
Urban,2019-10-13, W,9.39,128024265.0,40.98
Rural,2019-10-13, W,8.17,276057058.0,44.26
Urban,2019-10-20, W,7.96,129393986.0,40.75
Rural,2019-10-20, W,8.03,276982244.0,44.33
Total,2019-10-20, W,8.01,406376230.0,43.12
Rural,2019-10-27, W,7.01,279614635.0,44.24
Urban,2019-10-27, W,8.12,129656483.0,40.89
Total,2019-10-27, W,7.36,409271118.0,43.11
Rural,2019-11-03, W,6.13,269363910.0,42.2
Urban,2019-11-03, W,7.69,129178126.0,40.53
Total,2019-11-03, W,6.64,398542036.0,41.64
Urban,2019-11-10, W,9.37,128710355.0,41.11
Total,2019-11-10, W,8.38,400191609.0,42.58
Rural,2019-11-10, W,7.91,271481255.0,43.33
Total,2019-11-17, W,7.72,395510318.0,41.76
Rural,2019-11-17, W,7.14,270991704.0,42.88
Urban,2019-11-17, W,8.94,124518613.0,39.56
Total,2019-11-24, W,7.22,412591147.0,43.31
Rural,2019-11-24, W,6.41,284897579.0,44.71
Urban,2019-11-24, W,8.98,127693568.0,40.57
Total,2019-12-01, W,6.44,405626665.0,42.21
Urban,2019-12-01, W,8.88,123731753.0,39.25
Rural,2019-12-01, W,5.33,281894912.0,43.71
Urban,2019-12-08, W,10.07,127236052.0,40.88
Rural,2019-12-08, W,7.38,275556300.0,43.66
Total,2019-12-08, W,8.25,402792351.0,42.72
Urban,2019-12-15, W,8.87,128824881.0,40.82
Rural,2019-12-15, W,7.03,280326177.0,44.22
Total,2019-12-15, W,7.62,409151058.0,43.08
Urban,2019-12-22, W,10.12,127350117.0,40.89
Rural,2019-12-22, W,8.17,278340558.0,44.44
Total,2019-12-22, W,8.79,405690675.0,43.24
Urban,2019-12-29, W,8.28,128015053.0,40.26
Rural,2019-12-29, W,6.44,275592353.0,43.17
Total,2019-12-29, W,7.03,403607406.0,42.19
Urban,2020-01-05, W,9.97,126403669.0,40.48
Total,2020-01-05, W,7.51,405448385.0,42.58
Rural,2020-01-05, W,6.34,279044716.0,43.64
Total,2020-01-12, W,7.67,413106485.0,43.44
Rural,2020-01-12, W,6.77,286429478.0,44.99
Urban,2020-01-12, W,9.63,126677007.0,40.4
Total,2020-01-19, W,6.56,417705056.0,43.38
Rural,2020-01-19, W,5.66,289801280.0,44.96
Urban,2020-01-19, W,8.55,127903776.0,40.29
Rural,2020-01-26, W,4.83,286100355.0,43.98
Urban,2020-01-26, W,10.36,126284553.0,40.56
Total,2020-01-26, W,6.6,412384908.0,42.83
Urban,2020-02-02, W,9.39,127520973.0,40.5
Total,2020-02-02, W,7.42,412152746.0,43.16
Rural,2020-02-02, W,6.5,284631772.0,44.52
Urban,2020-02-09, W,8.9,127181278.0,40.15
Total,2020-02-09, W,8.52,405774010.0,42.99
Rural,2020-02-09, W,8.34,278592732.0,44.43
Urban,2020-02-16, W,9.68,128723775.0,40.97
Rural,2020-02-16, W,7.34,278487720.0,43.91
Total,2020-02-16, W,8.1,407211495.0,42.92
Rural,2020-02-23, W,7.39,280827863.0,44.28
Total,2020-02-23, W,7.42,413010706.0,43.2
Urban,2020-02-23, W,7.49,132182843.0,41.06
Rural,2020-03-01, W,7.67,271300579.0,42.89
Total,2020-03-01, W,8.11,398409779.0,41.96
Urban,2020-03-01, W,9.04,127109199.0,40.13
Rural,2020-03-08, W,7.02,273546196.0,42.93
Total,2020-03-08, W,7.71,402077779.0,42.14
Urban,2020-03-08, W,9.13,128531583.0,40.6
Rural,2020-03-15, W,6.07,282982779.0,43.94
Total,2020-03-15, W,6.74,407704814.0,42.27
Urban,2020-03-15, W,8.21,124722035.0,38.99
Rural,2020-03-22, W,8.29,276216102.0,43.91
Urban,2020-03-22, W,8.66,127858637.0,40.14
Total,2020-03-22, W,8.41,404074739.0,42.64
Urban,2020-03-29, W,30.01,88831649.0,36.38
Total,2020-03-29, W,23.81,309222043.0,39.21
Rural,2020-03-29, W,20.99,220390394.0,40.65
Urban,2020-04-05, W,30.93,76476809.0,31.72
Total,2020-04-05, W,23.38,286463911.0,36.1
Rural,2020-04-05, W,20.21,209987102.0,38.33
Total,2020-04-12, W,24.0,279748657.0,35.53
Rural,2020-04-12, W,24.37,193128505.0,37.18
Urban,2020-04-12, W,23.17,86620152.0,32.28
Rural,2020-04-19, W,26.69,185213224.0,36.77
Urban,2020-04-19, W,25.08,85516383.0,32.67
Total,2020-04-19, W,26.19,270729608.0,35.39
Rural,2020-04-26, W,20.88,202326010.0,37.2
Urban,2020-04-26, W,21.45,87225893.0,31.77
Total,2020-04-26, W,21.05,289551903.0,35.37
Rural,2020-05-03, W,26.16,191669759.0,37.74
Total,2020-05-03, W,27.11,273606584.0,36.18
Urban,2020-05-03, W,29.22,81936825.0,33.1
Total,2020-05-10, W,23.97,296378009.0,37.56
Urban,2020-05-10, W,27.83,83345337.0,33.0
Rural,2020-05-10, W,22.35,213032672.0,39.87
Total,2020-05-17, W,24.01,306498625.0,38.84
Urban,2020-05-17, W,26.95,86547451.0,33.84
Rural,2020-05-17, W,22.79,219951174.0,41.39
Total,2020-05-24, W,24.34,304534963.0,38.74
Urban,2020-05-24, W,22.72,98305649.0,36.32
Rural,2020-05-24, W,25.09,206229314.0,39.98
Total,2020-05-31, W,20.19,320739462.0,38.67
Urban,2020-05-31, W,25.14,94619193.0,36.07
Rural,2020-05-31, W,17.92,226120268.0,39.99
Total,2020-06-07, W,17.51,336413808.0,39.22
Rural,2020-06-07, W,17.71,228333236.0,40.26
Urban,2020-06-07, W,17.08,108080572.0,37.18
Rural,2020-06-14, W,10.96,257266132.0,41.9
Urban,2020-06-14, W,13.1,114028305.0,37.41
Total,2020-06-14, W,11.63,371294437.0,40.39
Rural,2020-06-21, W,7.26,279211441.0,43.64
Urban,2020-06-21, W,11.19,120630089.0,38.7
Total,2020-06-21, W,8.48,399841530.0,41.98
Urban,2020-06-28, W,10.69,121200100.0,38.65
Total,2020-06-28, W,8.59,393631941.0,41.36
Rural,2020-06-28, W,7.62,272431841.0,42.73
Total,2020-07-05, W,8.87,383912197.0,40.44
Rural,2020-07-05, W,7.78,267328283.0,41.99
Urban,2020-07-05, W,11.26,116583914.0,37.4
Total,2020-07-12, W,7.44,389419572.0,40.37
Rural,2020-07-12, W,6.34,272383776.0,42.1
Urban,2020-07-12, W,9.92,117035796.0,36.97
Total,2020-07-19, W,7.94,400445989.0,41.72
Urban,2020-07-19, W,9.78,123556560.0,38.95
Rural,2020-07-19, W,7.1,276889428.0,43.13
Urban,2020-07-26, W,9.43,120440300.0,37.8
Rural,2020-07-26, W,7.66,273104414.0,42.78
Total,2020-07-26, W,8.21,393544715.0,41.1
Urban,2020-08-02, W,8.73,122505645.0,38.14
Rural,2020-08-02, W,6.47,269262260.0,41.62
Total,2020-08-02, W,7.19,391767904.0,40.45
Urban,2020-08-09, W,9.31,123000827.0,38.52
Rural,2020-08-09, W,8.37,264304709.0,41.69
Total,2020-08-09, W,8.67,387305536.0,40.62
Urban,2020-08-16, W,9.61,125254167.0,39.33
Rural,2020-08-16, W,8.86,275622104.0,43.69
Total,2020-08-16, W,9.1,400876271.0,42.22
Rural,2020-08-23, W,6.32,270105141.0,41.63
Total,2020-08-23, W,7.46,391568017.0,40.49
Urban,2020-08-23, W,9.89,121462876.0,38.24
Total,2020-08-30, W,8.13,379717207.0,39.53
Rural,2020-08-30, W,7.49,256786108.0,40.06
Urban,2020-08-30, W,9.43,122931098.0,38.49
Total,2020-09-06, W,7.28,399160824.0,41.16
Rural,2020-09-06, W,6.82,276832810.0,42.86
Urban,2020-09-06, W,8.32,122328014.0,37.82
Rural,2020-09-13, W,6.5,276164477.0,42.59
Urban,2020-09-13, W,8.27,119915323.0,37.03
Total,2020-09-13, W,7.04,396079800.0,40.72
Urban,2020-09-20, W,8.83,121349926.0,37.69
Total,2020-09-20, W,6.35,395655705.0,40.35
Rural,2020-09-20, W,5.21,274305779.0,41.71
Urban,2020-09-27, W,8.25,121618549.0,37.51
Total,2020-09-27, W,5.84,396794412.0,40.23
Rural,2020-09-27, W,4.73,275175863.0,41.61
Urban,2020-10-04, W,8.17,122940482.0,37.87
Rural,2020-10-04, W,7.93,270582789.0,42.32
Total,2020-10-04, W,8.01,393523272.0,40.82
Rural,2020-10-11, W,8.01,269508058.0,42.17
Total,2020-10-11, W,7.71,393005797.0,40.62
Urban,2020-10-11, W,7.05,123497739.0,37.56
Rural,2020-10-18, W,5.31,274517979.0,41.72
Total,2020-10-18, W,6.11,397469489.0,40.36
Urban,2020-10-18, W,7.83,122951510.0,37.7
Rural,2020-10-25, W,6.89,277900195.0,42.93
Total,2020-10-25, W,6.86,404066435.0,41.34
Urban,2020-10-25, W,6.79,126166240.0,38.23
Rural,2020-11-01, W,7.17,279892648.0,43.34
Total,2020-11-01, W,7.15,401877475.0,41.23
Urban,2020-11-01, W,7.1,121984827.0,37.07
Rural,2020-11-08, W,7.01,270117215.0,41.74
Urban,2020-11-08, W,6.61,123413024.0,37.29
Total,2020-11-08, W,6.89,393530239.0,40.24
Urban,2020-11-15, W,7.05,122764191.0,37.25
Total,2020-11-15, W,5.45,392826413.0,39.54
Rural,2020-11-15, W,4.7,270062222.0,40.7
Urban,2020-11-22, W,7.94,122489976.0,37.51
Total,2020-11-22, W,7.77,380973671.0,39.29
Rural,2020-11-22, W,7.69,258483695.0,40.2
Total,2020-11-29, W,7.51,399530262.0,41.07
Rural,2020-11-29, W,7.85,277821348.0,43.27
Urban,2020-11-29, W,6.72,121708915.0,36.76
Rural,2020-12-06, W,8.56,279614447.0,43.86
Urban,2020-12-06, W,8.15,123787863.0,37.95
Total,2020-12-06, W,8.43,403402309.0,41.87
Rural,2020-12-13, W,9.11,274786365.0,43.35
Urban,2020-12-13, W,11.62,121823286.0,38.8
Total,2020-12-13, W,9.9,396609651.0,41.82
Rural,2020-12-20, W,10.11,261853834.0,41.75
Total,2020-12-20, W,10.1,384225530.0,40.58
Urban,2020-12-20, W,10.07,122371695.0,38.28
Total,2020-12-27, W,9.5,374810544.0,39.31
Urban,2020-12-27, W,7.32,121756064.0,36.94
Rural,2020-12-27, W,10.52,253054480.0,40.51
Total,2021-01-03, W,8.0,390813850.0,40.3
Urban,2021-01-03, W,6.81,120805248.0,36.44
Rural,2021-01-03, W,8.52,270008603.0,42.27
Total,2021-01-10, W,7.38,398069629.0,40.75
Urban,2021-01-10, W,7.91,123204327.0,37.58
Rural,2021-01-10, W,7.14,274865302.0,42.37
Total,2021-01-17, W,4.66,395786750.0,39.35
Urban,2021-01-17, W,7.32,122347982.0,37.07
Rural,2021-01-17, W,3.42,273438768.0,40.51
Urban,2021-01-24, W,8.06,122883196.0,37.51
Rural,2021-01-24, W,4.97,287276465.0,43.23
Total,2021-01-24, W,5.92,410159661.0,41.3
Total,2021-01-31, W,6.15,402028365.0,40.57
Urban,2021-01-31, W,8.84,124737250.0,38.38
Rural,2021-01-31, W,4.89,277291115.0,41.68
Rural,2021-02-07, W,8.03,274741307.0,42.69
Total,2021-02-07, W,7.62,399046651.0,40.88
Urban,2021-02-07, W,6.68,124305344.0,37.35
Total,2021-02-14, W,7.02,397669126.0,40.46
Rural,2021-02-14, W,7.02,275152039.0,42.27
Urban,2021-02-14, W,7.0,122517087.0,36.92
Urban,2021-02-21, W,6.83,125420852.0,37.71
Total,2021-02-21, W,6.68,399481735.0,40.48
Rural,2021-02-21, W,6.61,274060883.0,41.89
Total,2021-02-28, W,7.14,398929988.0,40.61
Rural,2021-02-28, W,6.82,277119605.0,42.44
Urban,2021-02-28, W,7.85,121810383.0,37.01
Urban,2021-03-07, W,7.1,120686563.0,36.35
Rural,2021-03-07, W,5.86,273980602.0,41.52
Total,2021-03-07, W,6.25,394667165.0,39.77
Rural,2021-03-14, W,6.17,268528346.0,40.81
Total,2021-03-14, W,6.63,390456011.0,39.49
Urban,2021-03-14, W,7.63,121927665.0,36.92
Urban,2021-03-21, W,7.4,123773699.0,37.37
Rural,2021-03-21, W,6.41,277344179.0,42.23
Total,2021-03-21, W,6.72,401117878.0,40.59
Urban,2021-03-28, W,7.72,121572107.0,36.81
Rural,2021-03-28, W,6.18,286225418.0,43.46
Total,2021-03-28, W,6.65,407797525.0,41.21
Total,2021-04-04, W,8.16,401121429.0,41.19
Urban,2021-04-04, W,7.21,125034941.0,37.63
Rural,2021-04-04, W,8.58,276086488.0,43.0
Total,2021-04-11, W,8.58,388526407.0,40.06
Rural,2021-04-11, W,8.0,266486968.0,41.23
Urban,2021-04-11, W,9.81,122039439.0,37.77
Total,2021-04-18, W,8.4,390657607.0,40.18
Urban,2021-04-18, W,10.72,121262320.0,37.89
Rural,2021-04-18, W,7.31,269395287.0,41.35
Total,2021-04-25, W,7.4,393758429.0,40.05
Urban,2021-04-25, W,9.55,124913605.0,38.51
Rural,2021-04-25, W,6.37,268844824.0,40.83
Urban,2021-05-02, W,10.08,114824731.0,35.59
Rural,2021-05-02, W,7.35,264861301.0,40.63
Total,2021-05-02, W,8.19,379686032.0,38.93
Urban,2021-05-09, W,11.72,120477244.0,38.02
Total,2021-05-09, W,8.67,400851962.0,41.3
Rural,2021-05-09, W,7.29,280374718.0,42.97
Rural,2021-05-16, W,14.34,255343086.0,42.33
Urban,2021-05-16, W,14.71,113320678.0,37.0
Total,2021-05-16, W,14.45,368663764.0,40.53
Rural,2021-05-23, W,13.52,249786764.0,41.0
Urban,2021-05-23, W,17.41,107440747.0,36.2
Total,2021-05-23, W,14.73,357227511.0,39.38
Urban,2021-05-30, W,17.88,105368186.0,35.69
Rural,2021-05-30, W,9.58,258779200.0,40.61
Total,2021-05-30, W,12.15,364147386.0,38.95
Urban,2021-06-06, W,14.4,110776943.0,35.98
Total,2021-06-06, W,13.62,360883101.0,39.24
Rural,2021-06-06, W,13.27,250106158.0,40.9
Rural,2021-06-13, W,8.23,264673411.0,40.89
Total,2021-06-13, W,8.7,386611705.0,39.75
Urban,2021-06-13, W,9.7,121938294.0,37.53
Urban,2021-06-20, W,10.3,120316523.0,37.26
Rural,2021-06-20, W,8.92,270800338.0,42.13
Total,2021-06-20, W,9.35,391116860.0,40.49
Rural,2021-06-27, W,8.6,264036794.0,40.92
Total,2021-06-27, W,8.72,385389369.0,39.6
Urban,2021-06-27, W,8.98,121352575.0,37.01
Rural,2021-07-04, W,6.71,269119194.0,40.85
Total,2021-07-04, W,7.3,390469858.0,39.49
Urban,2021-07-04, W,8.57,121350664.0,36.83
Total,2021-07-11, W,7.64,400112727.0,40.59
Urban,2021-07-11, W,8.9,124650353.0,37.95
Rural,2021-07-11, W,7.06,275462374.0,41.94
Total,2021-07-18, W,5.98,405579108.0,40.41
Urban,2021-07-18, W,7.94,123424262.0,37.17
Rural,2021-07-18, W,5.1,282154846.0,42.06
Urban,2021-07-25, W,8.01,125545830.0,37.82
Total,2021-07-25, W,7.14,407954081.0,41.13
Rural,2021-07-25, W,6.75,282408251.0,42.82
Urban,2021-08-01, W,8.03,122531327.0,36.9
Total,2021-08-01, W,7.44,393408061.0,39.78
Rural,2021-08-01, W,7.18,270876733.0,41.25
Total,2021-08-08, W,8.1,407500733.0,41.48
Urban,2021-08-08, W,9.96,123368475.0,37.93
Rural,2021-08-08, W,7.27,284132258.0,43.29
Rural,2021-08-15, W,7.01,275027435.0,41.77
Urban,2021-08-15, W,10.23,122545179.0,37.77
Total,2021-08-15, W,8.03,397572614.0,40.42
Rural,2021-08-22, W,7.34,268693532.0,40.93
Total,2021-08-22, W,7.92,394309340.0,40.02
Urban,2021-08-22, W,9.14,125615808.0,38.23
Rural,2021-08-29, W,8.46,273974671.0,42.23
Total,2021-08-29, W,8.81,398066880.0,40.78
Urban,2021-08-29, W,9.58,124092209.0,37.93
Total,2021-09-05, W,8.72,401205792.0,41.04
Rural,2021-09-05, W,8.62,275216072.0,42.48
Urban,2021-09-05, W,8.92,125989720.0,38.21
Rural,2021-09-12, W,6.51,281523809.0,42.45
Total,2021-09-12, W,7.35,405782939.0,40.87
Urban,2021-09-12, W,9.2,124259130.0,37.79
Rural,2021-09-19, W,4.92,275113873.0,40.77
Urban,2021-09-19, W,7.93,125946316.0,37.75
Total,2021-09-19, W,5.89,401060189.0,39.75
Urban,2021-09-26, W,7.84,125363518.0,37.52
Rural,2021-09-26, W,5.36,290473157.0,43.23
Total,2021-09-26, W,6.12,415836676.0,41.3
Total,2021-10-03, W,7.56,389128858.0,39.23
Rural,2021-10-03, W,6.99,262916693.0,39.8
Urban,2021-10-03, W,8.73,126212166.0,38.13
Total,2021-10-10, W,8.86,395328420.0,40.41
Urban,2021-10-10, W,7.5,124701131.0,37.15
Rural,2021-10-10, W,9.48,270627289.0,42.07
Urban,2021-10-17, W,7.57,126906871.0,37.82
Total,2021-10-17, W,7.33,413586406.0,41.56
Rural,2021-10-17, W,7.23,286679535.0,43.47
Urban,2021-10-24, W,7.2,126744014.0,37.6
Rural,2021-10-24, W,7.8,276863217.0,42.22
Total,2021-10-24, W,7.61,403607231.0,40.66
Rural,2021-10-31, W,7.02,273982728.0,41.41
Total,2021-10-31, W,7.21,398275770.0,39.93
Urban,2021-10-31, W,7.62,124293042.0,37.02
Urban,2021-11-07, W,6.8,124678590.0,36.79
Rural,2021-11-07, W,6.34,274898912.0,41.23
Total,2021-11-07, W,6.49,399577503.0,39.73
Total,2021-11-14, W,6.91,397334055.0,39.67
Urban,2021-11-14, W,8.22,123096278.0,36.87
Rural,2021-11-14, W,6.31,274237777.0,41.1
Total,2021-11-21, W,7.39,396642116.0,39.79
Rural,2021-11-21, W,7.04,271806282.0,41.04
Urban,2021-11-21, W,8.14,124835834.0,37.34
Urban,2021-11-28, W,8.75,126727322.0,38.14
Rural,2021-11-28, W,6.11,279192376.0,41.72
Total,2021-11-28, W,6.95,405919699.0,40.51
Rural,2021-12-05, W,6.53,279631432.0,41.95
Total,2021-12-05, W,7.22,404326651.0,40.45
Urban,2021-12-05, W,8.73,124695220.0,37.5
Total,2021-12-12, W,8.53,408099683.0,41.39
Rural,2021-12-12, W,7.82,282520015.0,42.96
Urban,2021-12-12, W,10.09,125579668.0,38.32
Urban,2021-12-19, W,9.18,126484600.0,38.19
Total,2021-12-19, W,7.77,406391194.0,40.86
Rural,2021-12-19, W,7.12,279906594.0,42.23
Total,2021-12-26, W,7.37,406988636.0,40.73
Rural,2021-12-26, W,7.08,280238021.0,42.24
Urban,2021-12-26, W,8.02,126750615.0,37.77
Total,2022-01-02, W,6.54,409337214.0,40.58
Rural,2022-01-02, W,5.35,283026535.0,41.86
Urban,2022-01-02, W,9.1,126310679.0,38.06
Rural,2022-01-09, W,6.68,276012258.0,41.39
Urban,2022-01-09, W,8.55,125068890.0,37.45
Total,2022-01-09, W,7.27,401081148.0,40.05
Urban,2022-01-16, W,8.01,126410901.0,37.61
Total,2022-01-16, W,5.96,402866461.0,39.65
Rural,2022-01-16, W,4.99,276455560.0,40.7
Urban,2022-01-23, W,7.73,125327190.0,37.16
Total,2022-01-23, W,6.92,400137466.0,39.77
Rural,2022-01-23, W,6.54,274810276.0,41.11
Urban,2022-01-30, W,8.29,124725572.0,37.18
Rural,2022-01-30, W,4.06,277506869.0,40.42
Total,2022-01-30, W,5.41,402232441.0,39.33
Rural,2022-02-06, W,11.11,267906487.0,42.1
Total,2022-02-06, W,10.06,393727641.0,40.47
Urban,2022-02-06, W,7.75,125821154.0,37.27
Rural,2022-02-13, W,9.61,270178199.0,41.73
Total,2022-02-13, W,8.92,396598450.0,40.23
Urban,2022-02-13, W,7.4,126420251.0,37.29
Rural,2022-02-20, W,7.3,275499573.0,41.48
Total,2022-02-20, W,7.42,401529184.0,40.06
Urban,2022-02-20, W,7.7,126029610.0,37.28
Rural,2022-02-27, W,9.08,273110627.0,41.9
Total,2022-02-27, W,8.55,398346148.0,40.21
Urban,2022-02-27, W,7.39,125235521.0,36.9
Rural,2022-03-06, W,6.34,274716779.0,40.9
Total,2022-03-06, W,6.65,399511424.0,39.49
Urban,2022-03-06, W,7.34,124794645.0,36.73
Urban,2022-03-13, W,10.36,124395818.0,37.83
Rural,2022-03-13, W,6.45,265848306.0,39.61
Total,2022-03-13, W,7.73,390244124.0,39.01
Total,2022-03-20, W,7.86,392673104.0,39.29
Urban,2022-03-20, W,7.97,123669513.0,36.61
Rural,2022-03-20, W,7.81,269003591.0,40.65
Rural,2022-03-27, W,8.55,270125435.0,41.14
Urban,2022-03-27, W,7.56,124537056.0,36.69
Total,2022-03-27, W,8.24,394662491.0,39.63
Total,2022-04-03, W,7.34,403113901.0,40.07
Rural,2022-04-03, W,6.2,277931993.0,41.24
Urban,2022-04-03, W,9.78,125181907.0,37.77
Rural,2022-04-10, W,6.68,277795342.0,41.42
Total,2022-04-10, W,7.36,404170195.0,40.16
Urban,2022-04-10, W,8.82,126374853.0,37.71
Rural,2022-04-17, W,7.7,280192962.0,42.22
Urban,2022-04-17, W,9.99,126727050.0,38.29
Total,2022-04-17, W,8.43,406920012.0,40.89
Rural,2022-04-24, W,8.32,277183402.0,42.03
Urban,2022-04-24, W,8.35,128150849.0,38.0
Total,2022-04-24, W,8.33,405334251.0,40.67
Urban,2022-05-01, W,9.46,125618934.0,37.69
Rural,2022-05-01, W,6.4,270539691.0,40.16
Total,2022-05-01, W,7.39,396158625.0,39.32
Urban,2022-05-08, W,8.45,124380443.0,36.89
Total,2022-05-08, W,8.17,399523301.0,39.98
Rural,2022-05-08, W,8.04,275142858.0,41.56
Rural,2022-05-15, W,5.36,279595280.0,41.02
Urban,2022-05-15, W,7.99,126900729.0,37.43
Total,2022-05-15, W,6.2,406496009.0,39.8
Rural,2022-05-22, W,6.42,275087927.0,40.79
Urban,2022-05-22, W,8.23,125681433.0,37.15
Total,2022-05-22, W,6.99,400769360.0,39.56
Total,2022-05-29, W,7.0,403994780.0,39.86
Urban,2022-05-29, W,8.63,124748999.0,37.02
Rural,2022-05-29, W,6.26,279245780.0,41.32
Urban,2022-06-05, W,7.19,125345705.0,36.6
Rural,2022-06-05, W,7.69,267505024.0,40.18
Total,2022-06-05, W,7.53,392850729.0,38.97
Rural,2022-06-12, W,8.16,259384486.0,39.14
Total,2022-06-12, W,7.98,384533825.0,38.31
Urban,2022-06-12, W,7.6,125149339.0,36.68
Rural,2022-06-19, W,7.34,269591297.0,40.3
Total,2022-06-19, W,7.14,396146154.0,39.09
Urban,2022-06-19, W,6.71,126554857.0,36.72
Rural,2022-06-26, W,8.82,269705960.0,40.96
Total,2022-06-26, W,8.49,395663588.0,39.6
Urban,2022-06-26, W,7.76,125957628.0,36.95
Urban,2022-07-03, W,7.55,123119576.0,36.01
Total,2022-07-03, W,6.41,395693075.0,38.71
Rural,2022-07-03, W,5.89,272573499.0,40.09
Urban,2022-07-10, W,7.69,123263167.0,36.1
Total,2022-07-10, W,7.17,397587778.0,39.2
Rural,2022-07-10, W,6.93,274324612.0,40.78
Total,2022-07-17, W,6.55,389918983.0,38.17
Rural,2022-07-17, W,5.7,265622928.0,38.95
Urban,2022-07-17, W,8.32,124296055.0,36.63
Rural,2022-07-24, W,5.78,282374638.0,41.43
Total,2022-07-24, W,6.77,407963326.0,40.01
Urban,2022-07-24, W,8.94,125588689.0,37.24
Rural,2022-07-31, W,5.97,273339181.0,40.17
Total,2022-07-31, W,6.73,400098012.0,39.2
Urban,2022-07-31, W,8.31,126758831.0,37.31
Urban,2022-08-07, W,9.19,123122479.0,36.58
Total,2022-08-07, W,9.66,391496929.0,39.59
Rural,2022-08-07, W,9.88,268374451.0,41.13
Rural,2022-08-14, W,6.07,270721471.0,39.79
Urban,2022-08-14, W,10.26,122030603.0,36.67
Total,2022-08-14, W,7.42,392752074.0,38.73
Urban,2022-08-21, W,9.86,125182306.0,37.43
Rural,2022-08-21, W,6.42,271935019.0,40.1
Total,2022-08-21, W,7.53,397117325.0,39.19
Urban,2022-08-28, W,8.91,126030921.0,37.27
Rural,2022-08-28, W,8.38,267421767.0,40.26
