region,date,frequency,unemployment_rate,employed,labour_participation_rate
Urban,2016-08-28, W,10.14,127114954.0,44.42
Total,2016-08-28, W,10.15,407189994.0,47.64
Rural,2016-09-04, W,9.74,273430490.0,47.85
Urban,2016-09-04, W,10.36,129071416.0,45.19
Total,2016-09-04, W,9.94,402501906.0,46.96
Urban,2016-09-11, W,8.73,132539166.0,45.55
Total,2016-09-11, W,8.38,434542168.0,49.81
Rural,2016-09-11, W,8.22,302003002.0,51.96
Total,2016-09-18, W,8.48,422724814.0,48.49
Rural,2016-09-18, W,8.1,290720742.0,49.93
Urban,2016-09-18, W,9.32,132004073.0,45.64
Total,2016-09-25, W,8.87,429755089.0,49.49
Rural,2016-09-25, W,8.12,299348867.0,51.4
Urban,2016-09-25, W,10.54,130406222.0,45.68
Total,2016-10-02, W,7.52,424591996.0,48.15
Urban,2016-10-02, W,9.48,131413911.0,45.47
Rural,2016-10-02, W,6.61,293178085.0,49.5
Urban,2016-10-09, W,8.79,133328965.0,45.76
Rural,2016-10-09, W,8.51,288850357.0,49.77
Total,2016-10-09, W,8.6,422179322.0,48.43
Urban,2016-10-16, W,5.19,136427520.0,45.03
Rural,2016-10-16, W,7.4,277142418.0,47.16
Total,2016-10-16, W,6.68,413569938.0,46.44
Urban,2016-10-23, W,6.28,134530109.0,44.9
Rural,2016-10-23, W,5.74,287923250.0,48.11
Total,2016-10-23, W,5.92,422453359.0,47.03
Urban,2016-10-30, W,6.43,133656762.0,44.65
Rural,2016-10-30, W,4.37,286550939.0,47.17
Total,2016-10-30, W,5.03,420207701.0,46.33
Urban,2016-11-06, W,7.75,129261917.0,43.78
Total,2016-11-06, W,6.15,418143018.0,46.62
Rural,2016-11-06, W,5.41,288881101.0,48.06
Total,2016-11-13, W,5.89,406451490.0,45.18
Rural,2016-11-13, W,5.21,275073892.0,45.64
Urban,2016-11-13, W,7.3,131377598.0,44.26
Total,2016-11-20, W,6.85,422213445.0,47.39
Rural,2016-11-20, W,5.6,289302811.0,48.18
Urban,2016-11-20, W,9.46,132910634.0,45.82
Rural,2016-11-27, W,3.43,282499940.0,45.97
Urban,2016-11-27, W,6.73,129828596.0,43.43
Total,2016-11-27, W,4.49,412328537.0,45.12
Urban,2016-12-04, W,6.54,130660538.0,43.6
Total,2016-12-04, W,5.58,401470122.0,44.42
Rural,2016-12-04, W,5.11,270809584.0,44.83
Urban,2016-12-11, W,8.02,129639760.0,43.93
Total,2016-12-11, W,6.06,423707051.0,47.1
Rural,2016-12-11, W,5.17,294067291.0,48.69
Urban,2016-12-18, W,6.6,127738188.0,42.61
Rural,2016-12-18, W,6.66,275265154.0,46.29
Total,2016-12-18, W,6.64,403003342.0,45.05
Rural,2016-12-25, W,6.01,276201862.0,46.1
Total,2016-12-25, W,6.85,405160462.0,45.37
Urban,2016-12-25, W,8.59,128958599.0,43.93
Rural,2017-01-01, W,4.01,273818642.0,44.73
Total,2017-01-01, W,5.49,402443295.0,44.4
Urban,2017-01-01, W,8.49,128624653.0,43.75
Rural,2017-01-08, W,5.06,282979279.0,46.72
Total,2017-01-08, W,5.75,413673095.0,45.75
Urban,2017-01-08, W,7.21,130693816.0,43.82
Rural,2017-01-15, W,5.06,274061571.0,45.23
Total,2017-01-15, W,5.74,401820733.0,44.41
Urban,2017-01-15, W,7.15,127759163.0,42.79
Rural,2017-01-22, W,3.08,307672739.0,49.72
Urban,2017-01-22, W,7.86,129436038.0,43.66
Total,2017-01-22, W,4.55,437108777.0,47.69
Urban,2017-01-29, W,8.92,128187489.0,43.72
Total,2017-01-29, W,5.89,417061086.0,46.13
Rural,2017-01-29, W,4.47,288873598.0,47.34
Urban,2017-02-05, W,6.87,126349668.0,42.13
Total,2017-02-05, W,7.08,412985056.0,46.24
Rural,2017-02-05, W,7.17,286635388.0,48.31
Total,2017-02-12, W,4.67,425632040.0,46.43
Rural,2017-02-12, W,4.29,295583189.0,48.3
Urban,2017-02-12, W,5.53,130048851.0,42.72
Rural,2017-02-19, W,2.85,277401770.0,44.64
Urban,2017-02-19, W,6.73,129430539.0,43.05
Total,2017-02-19, W,4.12,406832309.0,44.11
Rural,2017-02-26, W,3.07,283464972.0,45.7
Urban,2017-02-26, W,6.41,135761475.0,44.97
Total,2017-02-26, W,4.18,419226447.0,45.46
Rural,2017-03-05, W,3.29,270494425.0,43.69
Total,2017-03-05, W,4.63,400563744.0,43.62
Urban,2017-03-05, W,7.29,130069318.0,43.48
Total,2017-03-12, W,4.15,404487575.0,43.81
Urban,2017-03-12, W,5.1,129490059.0,42.26
Rural,2017-03-12, W,3.7,274997516.0,44.59
Total,2017-03-19, W,3.82,404985797.0,43.69
Urban,2017-03-19, W,4.78,130916625.0,42.57
Rural,2017-03-19, W,3.35,274069172.0,44.25
Total,2017-03-26, W,4.43,405428319.0,44.0
Urban,2017-03-26, W,5.97,128438503.0,42.27
Rural,2017-03-26, W,3.69,276989816.0,44.87
Total,2017-04-02, W,4.04,410612230.0,44.36
Urban,2017-04-02, W,4.12,129085730.0,41.64
Rural,2017-04-02, W,4.01,281526500.0,45.73
Urban,2017-04-09, W,3.82,129942708.0,41.77
Rural,2017-04-09, W,4.17,280624475.0,45.64
Total,2017-04-09, W,4.06,410567183.0,44.34
Rural,2017-04-16, W,4.39,282981620.0,46.11
Urban,2017-04-16, W,4.25,129436752.0,41.77
Total,2017-04-16, W,4.35,412418372.0,44.66
Rural,2017-04-23, W,2.97,272696628.0,43.77
Urban,2017-04-23, W,3.7,128751980.0,41.29
Total,2017-04-23, W,3.21,401448608.0,42.94
Urban,2017-04-30, W,3.96,129629989.0,41.67
Total,2017-04-30, W,4.0,397059028.0,42.8
Rural,2017-04-30, W,4.03,267429039.0,43.37
Total,2017-05-07, W,3.66,411951221.0,44.23
Rural,2017-05-07, W,3.28,284442807.0,45.76
Urban,2017-05-07, W,4.49,127508413.0,41.19
Total,2017-05-14, W,3.23,415957761.0,44.44
Rural,2017-05-14, W,2.52,288917146.0,46.1
Urban,2017-05-14, W,4.8,127040615.0,41.16
Total,2017-05-21, W,3.92,402425250.0,43.28
Urban,2017-05-21, W,4.08,130204352.0,41.84
Rural,2017-05-21, W,3.84,272220899.0,44.01
Urban,2017-05-28, W,4.99,128197031.0,41.57
Rural,2017-05-28, W,3.61,280674531.0,45.25
Total,2017-05-28, W,4.04,408871562.0,44.01
Urban,2017-06-04, W,4.88,126771448.0,41.04
Rural,2017-06-04, W,2.8,286188542.0,45.73
Total,2017-06-04, W,3.44,412959990.0,44.16
Urban,2017-06-11, W,4.62,128714858.0,41.54
Rural,2017-06-11, W,2.74,286599729.0,45.75
Total,2017-06-11, W,3.33,415314587.0,44.34
Urban,2017-06-18, W,4.01,129699788.0,41.57
Rural,2017-06-18, W,3.46,280420878.0,45.08
Total,2017-06-18, W,3.63,410120665.0,43.9
Urban,2017-06-25, W,4.61,132373241.0,42.67
Total,2017-06-25, W,3.54,412523071.0,44.1
Rural,2017-06-25, W,3.03,280149830.0,44.82
Total,2017-07-02, W,5.61,411649020.0,44.95
Rural,2017-07-02, W,6.23,280062806.0,46.31
Urban,2017-07-02, W,4.26,131586214.0,42.24
Total,2017-07-09, W,2.88,404602149.0,42.92
Rural,2017-07-09, W,2.51,275618430.0,43.82
Urban,2017-07-09, W,3.65,128983719.0,41.12
Rural,2017-07-16, W,3.1,271675304.0,43.43
Urban,2017-07-16, W,3.7,130273001.0,41.54
Total,2017-07-16, W,3.29,401948305.0,42.8
Urban,2017-07-23, W,3.88,130395057.0,41.64
Total,2017-07-23, W,3.12,404043257.0,42.93
Rural,2017-07-23, W,2.76,273648200.0,43.58
