date,rad,.geo
20190101,"{avg_rad=1.2286660160425158, cf_cvg=17.24332668357293}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190201,"{avg_rad=1.1209692667026456, cf_cvg=12.57559690624547}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190301,"{avg_rad=1.0595026445725688, cf_cvg=15.361265446164618}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190401,"{avg_rad=1.0429964799173674, cf_cvg=12.514051793070678}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190501,"{avg_rad=1.0472552735328768, cf_cvg=10.96435511967464}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190601,"{avg_rad=0.9285338291692943, cf_cvg=6.60065257575512}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190701,"{avg_rad=0.8520332436260969, cf_cvg=3.7483268606948243}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190801,"{avg_rad=0.7893143586320741, cf_cvg=3.8797332554054287}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190901,"{avg_rad=0.8020876596241193, cf_cvg=4.21982549737384}","{""type"":""MultiPoint"",""coordinates"":[]}"
20191001,"{avg_rad=1.0515248931157062, cf_cvg=8.670225575148093}","{""type"":""MultiPoint"",""coordinates"":[]}"
20191101,"{avg_rad=1.0018070336781595, cf_cvg=12.241054265129518}","{""type"":""MultiPoint"",""coordinates"":[]}"
20191201,"{avg_rad=1.1251115936320404, cf_cvg=12.016599277022316}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200101,"{avg_rad=1.2301829806886388, cf_cvg=13.818369509840064}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200201,"{avg_rad=1.0941420093740601, cf_cvg=14.290608355602783}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200301,"{avg_rad=1.0549298482138423, cf_cvg=13.969332578913807}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200401,"{avg_rad=1.0852597981406304, cf_cvg=11.959602006850304}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200501,"{avg_rad=0.9699349682243084, cf_cvg=9.567222234523578}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200601,"{avg_rad=0.9175030839933686, cf_cvg=5.294940880819159}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200701,"{avg_rad=0.8613659589800646, cf_cvg=3.632443199864772}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200801,"{avg_rad=0.8073803291504601, cf_cvg=4.245961218484859}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200901,"{avg_rad=0.8444724803169863, cf_cvg=4.270626329077532}","{""type"":""MultiPoint"",""coordinates"":[]}"
20201001,"{avg_rad=0.9359607349210958, cf_cvg=9.447460126958475}","{""type"":""MultiPoint"",""coordinates"":[]}"
20201101,"{avg_rad=1.1863703084411983, cf_cvg=12.408579297171556}","{""type"":""MultiPoint"",""coordinates"":[]}"
20201201,"{avg_rad=1.029322143025529, cf_cvg=13.509542385686931}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210101,"{avg_rad=0.9711940688255217, cf_cvg=13.605054942053446}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210201,"{avg_rad=1.0749352162111885, cf_cvg=14.63738431489076}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210301,"{avg_rad=1.1303148870644473, cf_cvg=13.645981067836958}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210401,"{avg_rad=1.186728754693766, cf_cvg=12.081728747111494}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210501,"{avg_rad=1.0635123666881554, cf_cvg=8.66486760277168}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210601,"{avg_rad=0.9930896539595828, cf_cvg=5.908918862894147}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210701,"{avg_rad=0.9292738568310751, cf_cvg=3.928047079606538}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210801,"{avg_rad=0.9962129928858424, cf_cvg=4.430318475787684}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210901,"{avg_rad=0.8878667393790846, cf_cvg=4.55659898317571}","{""type"":""MultiPoint"",""coordinates"":[]}"
20211001,"{avg_rad=1.0660503751733672, cf_cvg=11.377191001181155}","{""type"":""MultiPoint"",""coordinates"":[]}"
20211101,"{avg_rad=1.1803739231646357, cf_cvg=11.556362064052172}","{""type"":""MultiPoint"",""coordinates"":[]}"
20211201,"{avg_rad=1.0860544145951727, cf_cvg=13.671930870161013}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220101,"{avg_rad=1.0291278303769, cf_cvg=14.398646799846293}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220201,"{avg_rad=1.1583591916605254, cf_cvg=12.382743089059534}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220301,"{avg_rad=1.283215024963075, cf_cvg=16.0817426666519}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220401,"{avg_rad=1.2241439393479723, cf_cvg=13.772174647193753}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220501,"{avg_rad=1.2188800854051773, cf_cvg=12.573252358567046}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220601,"{avg_rad=1.14713858105563, cf_cvg=6.280903058654844}","{""type"":""MultiPoint"",""coordinates"":[]}"
