date,rad,.geo
20190101,"{avg_rad=2.2990549644173868, cf_cvg=17.243326683572928}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190201,"{avg_rad=2.159404273389039, cf_cvg=12.57559690624547}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190301,"{avg_rad=1.966729496335059, cf_cvg=15.361265446164618}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190401,"{avg_rad=1.840671335475005, cf_cvg=12.514051793070678}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190501,"{avg_rad=1.7923362487689884, cf_cvg=10.964355119674641}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190601,"{avg_rad=1.7547560263815194, cf_cvg=6.60065257575512}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190701,"{avg_rad=1.842884684809821, cf_cvg=3.748326860694824}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190801,"{avg_rad=1.8462975488961977, cf_cvg=3.8797332554054287}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190901,"{avg_rad=1.747066474911266, cf_cvg=4.21982549737384}","{""type"":""MultiPoint"",""coordinates"":[]}"
20191001,"{avg_rad=1.9061647759194207, cf_cvg=8.670225575148093}","{""type"":""MultiPoint"",""coordinates"":[]}"
20191101,"{avg_rad=2.0138399836446315, cf_cvg=12.24105426512952}","{""type"":""MultiPoint"",""coordinates"":[]}"
20191201,"{avg_rad=2.2162636715492137, cf_cvg=12.016599277022316}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200101,"{avg_rad=2.3924759426395963, cf_cvg=13.81836950984006}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200201,"{avg_rad=1.9485778197032666, cf_cvg=14.290608355602787}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200301,"{avg_rad=1.7574849811850888, cf_cvg=13.96933257891381}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200401,"{avg_rad=1.5982025876067756, cf_cvg=11.959602006850302}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200501,"{avg_rad=1.6006738122480628, cf_cvg=9.567222234523582}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200601,"{avg_rad=1.6729718823625508, cf_cvg=5.29494088081916}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200701,"{avg_rad=1.700663265796532, cf_cvg=3.632443199864772}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200801,"{avg_rad=1.5451948736290932, cf_cvg=4.24596121848486}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200901,"{avg_rad=1.5812978204875898, cf_cvg=4.270626329077532}","{""type"":""MultiPoint"",""coordinates"":[]}"
20201001,"{avg_rad=1.6843821218566608, cf_cvg=9.447460126958479}","{""type"":""MultiPoint"",""coordinates"":[]}"
20201101,"{avg_rad=1.888355871900347, cf_cvg=12.408579297171556}","{""type"":""MultiPoint"",""coordinates"":[]}"
20201201,"{avg_rad=1.8798397248575605, cf_cvg=13.509542385686931}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210101,"{avg_rad=1.9306731153214423, cf_cvg=13.60505494205345}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210201,"{avg_rad=1.9215474294810198, cf_cvg=14.637384314890756}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210301,"{avg_rad=1.7475537685432427, cf_cvg=13.645981067836958}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210401,"{avg_rad=1.6403997870713245, cf_cvg=12.081728747111493}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210501,"{avg_rad=1.6689586741267777, cf_cvg=8.66486760277168}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210601,"{avg_rad=1.651890762936232, cf_cvg=5.908918862894148}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210701,"{avg_rad=1.6551765179343205, cf_cvg=3.928047079606538}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210801,"{avg_rad=1.5241609670795764, cf_cvg=4.430318475787683}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210901,"{avg_rad=1.5937313095259897, cf_cvg=4.55659898317571}","{""type"":""MultiPoint"",""coordinates"":[]}"
20211001,"{avg_rad=1.6076620811482532, cf_cvg=11.377191001181155}","{""type"":""MultiPoint"",""coordinates"":[]}"
20211101,"{avg_rad=1.8893200793847869, cf_cvg=11.556362064052173}","{""type"":""MultiPoint"",""coordinates"":[]}"
20211201,"{avg_rad=1.838987278926176, cf_cvg=13.671930870161013}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220101,"{avg_rad=1.9476797888640731, cf_cvg=14.398646799846293}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220201,"{avg_rad=1.9401003900404743, cf_cvg=12.382743089059533}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220301,"{avg_rad=1.7631411551298124, cf_cvg=16.0817426666519}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220401,"{avg_rad=1.6478276802642562, cf_cvg=13.772174647193753}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220501,"{avg_rad=1.6203132942510385, cf_cvg=12.573252358567046}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220601,"{avg_rad=1.6151718008752756, cf_cvg=6.280903058654842}","{""type"":""MultiPoint"",""coordinates"":[]}"
