date,rad,.geo
20190101,"{avg_rad=1.7750065763911085, cf_cvg=17.24332668357293}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190201,"{avg_rad=1.6317843957197005, cf_cvg=12.575596906245469}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190301,"{avg_rad=1.4551407874428932, cf_cvg=15.361265446164612}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190401,"{avg_rad=1.3692771675214228, cf_cvg=12.51405179307068}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190501,"{avg_rad=1.3401532664647098, cf_cvg=10.964355119674641}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190601,"{avg_rad=1.2690572615864253, cf_cvg=6.600652575755121}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190701,"{avg_rad=1.2838112951917655, cf_cvg=3.7483268606948252}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190801,"{avg_rad=1.2363043871851767, cf_cvg=3.8797332554054287}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190901,"{avg_rad=1.160414305681105, cf_cvg=4.21982549737384}","{""type"":""MultiPoint"",""coordinates"":[]}"
20191001,"{avg_rad=1.347376604509585, cf_cvg=8.670225575148095}","{""type"":""MultiPoint"",""coordinates"":[]}"
20191101,"{avg_rad=1.467792783311568, cf_cvg=12.241054265129518}","{""type"":""MultiPoint"",""coordinates"":[]}"
20191201,"{avg_rad=1.6653581802696662, cf_cvg=12.016599277022317}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200101,"{avg_rad=1.795570406271094, cf_cvg=13.818369509840064}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200201,"{avg_rad=1.4675834004940675, cf_cvg=14.290608355602783}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200301,"{avg_rad=1.3084264434261348, cf_cvg=13.969332578913807}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200401,"{avg_rad=1.1880468573910814, cf_cvg=11.959602006850302}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200501,"{avg_rad=1.1365334266523859, cf_cvg=9.56722223452358}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200601,"{avg_rad=1.1615800190827914, cf_cvg=5.294940880819159}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200701,"{avg_rad=1.159531669029547, cf_cvg=3.6324431998647717}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200801,"{avg_rad=1.0482711191288432, cf_cvg=4.245961218484859}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200901,"{avg_rad=1.0541992614639573, cf_cvg=4.270626329077531}","{""type"":""MultiPoint"",""coordinates"":[]}"
20201001,"{avg_rad=1.2041101471354296, cf_cvg=9.447460126958475}","{""type"":""MultiPoint"",""coordinates"":[]}"
20201101,"{avg_rad=1.3910989574512516, cf_cvg=12.40857929717155}","{""type"":""MultiPoint"",""coordinates"":[]}"
20201201,"{avg_rad=1.3650300256976553, cf_cvg=13.509542385686931}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210101,"{avg_rad=1.401219754974025, cf_cvg=13.605054942053446}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210201,"{avg_rad=1.4572070623701083, cf_cvg=14.63738431489076}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210301,"{avg_rad=1.3340827500027568, cf_cvg=13.645981067836958}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210401,"{avg_rad=1.2726842467284873, cf_cvg=12.081728747111494}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210501,"{avg_rad=1.237420062053769, cf_cvg=8.66486760277168}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210601,"{avg_rad=1.162009370092492, cf_cvg=5.908918862894148}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210701,"{avg_rad=1.111050179179395, cf_cvg=3.928047079606538}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210801,"{avg_rad=1.0903397754350763, cf_cvg=4.430318475787684}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210901,"{avg_rad=1.1075156308844827, cf_cvg=4.556598983175709}","{""type"":""MultiPoint"",""coordinates"":[]}"
20211001,"{avg_rad=1.133284999940428, cf_cvg=11.377191001181156}","{""type"":""MultiPoint"",""coordinates"":[]}"
20211101,"{avg_rad=1.4178311897054954, cf_cvg=11.55636206405217}","{""type"":""MultiPoint"",""coordinates"":[]}"
20211201,"{avg_rad=1.335812392641764, cf_cvg=13.671930870161013}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220101,"{avg_rad=1.4237674587433462, cf_cvg=14.398646799846293}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220201,"{avg_rad=1.4418683850314462, cf_cvg=12.382743089059533}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220301,"{avg_rad=1.3661762664238766, cf_cvg=16.0817426666519}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220401,"{avg_rad=1.2685798913057522, cf_cvg=13.77217464719375}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220501,"{avg_rad=1.2723887475537345, cf_cvg=12.573252358567046}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220601,"{avg_rad=1.2303396108859328, cf_cvg=6.280903058654844}","{""type"":""MultiPoint"",""coordinates"":[]}"
