date,rad,.geo
20190101,"{avg_rad=3.1813007006402043, cf_cvg=17.24332668357293}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190201,"{avg_rad=3.0442001387207274, cf_cvg=12.57559690624547}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190301,"{avg_rad=2.8043828056602282, cf_cvg=15.361265446164612}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190401,"{avg_rad=2.673980630906702, cf_cvg=12.514051793070678}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190501,"{avg_rad=2.5764762327357853, cf_cvg=10.964355119674645}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190601,"{avg_rad=2.649842642969803, cf_cvg=6.600652575755121}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190701,"{avg_rad=2.8854808072750577, cf_cvg=3.7483268606948252}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190801,"{avg_rad=2.937736657995923, cf_cvg=3.8797332554054282}","{""type"":""MultiPoint"",""coordinates"":[]}"
20190901,"{avg_rad=2.8313425664767147, cf_cvg=4.21982549737384}","{""type"":""MultiPoint"",""coordinates"":[]}"
20191001,"{avg_rad=2.773737467970426, cf_cvg=8.670225575148091}","{""type"":""MultiPoint"",""coordinates"":[]}"
20191101,"{avg_rad=2.858386947355986, cf_cvg=12.24105426512952}","{""type"":""MultiPoint"",""coordinates"":[]}"
20191201,"{avg_rad=3.140857181602494, cf_cvg=12.016599277022314}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200101,"{avg_rad=3.405421807437169, cf_cvg=13.818369509840068}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200201,"{avg_rad=2.781323659505423, cf_cvg=14.290608355602787}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200301,"{avg_rad=2.619925422628482, cf_cvg=13.96933257891381}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200401,"{avg_rad=2.4000104766582524, cf_cvg=11.959602006850302}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200501,"{avg_rad=2.479438932204952, cf_cvg=9.56722223452358}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200601,"{avg_rad=2.661964160481238, cf_cvg=5.294940880819159}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200701,"{avg_rad=2.7489734129597245, cf_cvg=3.632443199864772}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200801,"{avg_rad=2.500540665838181, cf_cvg=4.245961218484861}","{""type"":""MultiPoint"",""coordinates"":[]}"
20200901,"{avg_rad=2.5638148601829402, cf_cvg=4.270626329077532}","{""type"":""MultiPoint"",""coordinates"":[]}"
20201001,"{avg_rad=2.574244279101651, cf_cvg=9.447460126958477}","{""type"":""MultiPoint"",""coordinates"":[]}"
20201101,"{avg_rad=2.7242002073752887, cf_cvg=12.408579297171551}","{""type"":""MultiPoint"",""coordinates"":[]}"
20201201,"{avg_rad=2.7427907286755757, cf_cvg=13.509542385686931}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210101,"{avg_rad=2.8852119375522576, cf_cvg=13.605054942053446}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210201,"{avg_rad=2.7604093331885466, cf_cvg=14.63738431489076}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210301,"{avg_rad=2.527707759158183, cf_cvg=13.645981067836958}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210401,"{avg_rad=2.3480463447078126, cf_cvg=12.081728747111494}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210501,"{avg_rad=2.451863958959743, cf_cvg=8.664867602771679}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210601,"{avg_rad=2.5411304189275863, cf_cvg=5.908918862894146}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210701,"{avg_rad=2.6809798440474055, cf_cvg=3.9280470796065385}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210801,"{avg_rad=2.5422038262234117, cf_cvg=4.430318475787684}","{""type"":""MultiPoint"",""coordinates"":[]}"
20210901,"{avg_rad=2.585398612523593, cf_cvg=4.556598983175709}","{""type"":""MultiPoint"",""coordinates"":[]}"
20211001,"{avg_rad=2.5213601987683885, cf_cvg=11.377191001181155}","{""type"":""MultiPoint"",""coordinates"":[]}"
20211101,"{avg_rad=2.695321861083883, cf_cvg=11.556362064052172}","{""type"":""MultiPoint"",""coordinates"":[]}"
20211201,"{avg_rad=2.6735029529355816, cf_cvg=13.67193087016101}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220101,"{avg_rad=2.8783769222656703, cf_cvg=14.398646799846293}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220201,"{avg_rad=2.772182896541484, cf_cvg=12.382743089059534}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220301,"{avg_rad=2.5226303121729488, cf_cvg=16.0817426666519}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220401,"{avg_rad=2.41262850860633, cf_cvg=13.772174647193753}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220501,"{avg_rad=2.3405399945406327, cf_cvg=12.573252358567046}","{""type"":""MultiPoint"",""coordinates"":[]}"
20220601,"{avg_rad=2.4250055742778898, cf_cvg=6.280903058654841}","{""type"":""MultiPoint"",""coordinates"":[]}"
